id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Collin;Russel;Danika62@yahoo.com;opposite;2024-06-26T18:26:08;1509;23044
2;Tom;Lind;Zechariah_Johns-Bogan@gmail.com;lest;2024-06-27T14:48:55;17930;2736
3;Retta;Wisoky;Kelsie.Cremin@hotmail.com;near;2024-06-27T09:19:11;13732;11194
4;Bartholome;Cormier;Mallie_Weber@yahoo.com;outside;2024-06-26T20:28:44;3121;3983
5;Odie;Swift;Muriel94@hotmail.com;caramelise;2024-06-27T12:38:52;20434;9361
6;Pansy;Konopelski;Barney98@hotmail.com;boar below uh-huh;2024-06-27T06:08:31;3912;7230
7;Andreane;Koss;Jovan14@hotmail.com;antique;2024-06-27T17:50:29;31023;28855
8;Otto;Mohr;Maverick_Hettinger62@gmail.com;contaminate;2024-06-27T05:59:10;15162;21284
9;Randy;Considine;Flavie30@hotmail.com;wherever pro;2024-06-27T05:56:32;23729;12951
10;Vada;Kuhn;Thea_Beatty@gmail.com;er pfft;2024-06-26T19:34:42;5508;6642
